tool		Jip jip 1.0.2	Jip jip 1.0.2	Jip jip 1.0.2	Jip jip 1.0.2	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 1.0.0	Jip jip 1.0.0	Jip jip 1.0.0	Jip jip 1.0.0
run set		jip-api.SV-COMP23_assert_oox.ReachSafety-Java	jip-api.SV-COMP23_assert_oox.ReachSafety-Java	jip-api.SV-COMP23_assert_oox.ReachSafety-Java	jip-api.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-f-c.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-f-c.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-f-c.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-f-c.SV-COMP23_assert_oox.ReachSafety-Java	jip-yices2.SV-COMP23_assert_oox.ReachSafety-Java	jip-yices2.SV-COMP23_assert_oox.ReachSafety-Java	jip-yices2.SV-COMP23_assert_oox.ReachSafety-Java	jip-yices2.SV-COMP23_assert_oox.ReachSafety-Java
../sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
MinePump/spec1-5_product13.yml	false	false	0.203009722	0.20328691199938476	22.958080	false	0.185632816	0.35860816999957024	39.227392	false	0.177536241	0.17794499400042696	31.866880
MinePump/spec1-5_product14.yml	false	false	0.1969731	0.19723261600120168	22.962176	false	0.188043693	0.37238660900038667	39.235584	false	0.178514233	0.17904848699981812	31.916032
MinePump/spec1-5_product15.yml	false	false	1.826297448	1.826743326999349	73.027584	false	1.919835484	3.8348039239990612	102.555648	false	1.712210157	1.7127723110006627	95.318016
MinePump/spec1-5_product16.yml	false	false	1.459977987	1.460460108000916	60.928000	false	1.599801634	3.179340458000297	86.831104	false	1.458269986	1.458867857999394	79.835136
MinePump/spec1-5_product2.yml	false	false	0.166258475	0.1666174139991199	22.847488	false	0.161348942	0.31503475599856756	39.038976	false	0.155766679	0.15618508500028838	31.858688
MinePump/spec1-5_product3.yml	false	false	0.855255847	0.8557774420005444	47.992832	false	0.962347517	1.9085176030002913	70.938624	false	0.849397883	0.8498710740004753	63.660032
MinePump/spec1-5_product4.yml	false	false	0.76350301	0.7639123209992249	42.917888	false	0.85956669	1.7034008230002655	64.737280	false	0.769790684	0.7702698760003841	57.561088
MinePump/spec1-5_product48.yml	false	false	0.210671727	0.21104901200124004	23.089152	false	0.189127168	0.37686360699990473	39.325696	false	0.187700822	0.24123696900005598	32.120832
MinePump/spec1-5_product49.yml	false	false	0.209816317	0.2113847339987842	23.089152	false	0.189570079	0.36804705199938326	39.387136	false	0.181954959	0.18243271600022126	32.120832
MinePump/spec1-5_product5.yml	false	false	0.19390192	0.19454260699967563	22.827008	false	0.182397259	0.3522601120002946	39.174144	false	0.172229034	0.1726681229993119	31.834112
MinePump/spec1-5_product50.yml	false	false	0.201937717	0.20225320999998075	23.089152	false	0.191163741	0.37587426499885623	39.346176	false	0.1861231	0.18657745800010161	32.120832
MinePump/spec1-5_product51.yml	false	false	1.6007813	1.6012549950009998	73.007104	false	1.766268353	3.5178384209993965	100.958208	false	1.585366395	1.585970102999454	93.843456
MinePump/spec1-5_product52.yml	false	false	1.37126145	1.371729573000266	62.590976	false	1.484543718	2.966154502999416	87.764992	false	1.331378294	1.3319864869999947	80.633856
MinePump/spec1-5_product53.yml	false	false	0.202904923	0.2032502719994227	23.089152	false	0.186460262	0.3666215400007786	39.391232	false	0.178439769	0.17892548100007843	31.989760
MinePump/spec1-5_product54.yml	false	false	0.197706119	0.1979901089998748	23.089152	false	0.18751089	0.36404088500057696	39.309312	false	0.177608877	0.17802791199937928	31.989760
MinePump/spec1-5_product55.yml	false	false	1.360287392	1.360787020999851	66.064384	false	1.515533507	3.0164036420010234	91.795456	false	1.354345269	1.354993506000028	85.049344
MinePump/spec1-5_product56.yml	false	false	1.170412767	1.1708529679999629	56.119296	false	1.290164179	2.3912900449995504	79.417344	false	1.155629132	1.1560420289997637	72.101888
