tool				Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0			Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0			Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0			Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0
run set				jip-e	jip-e	jip-e			jip-i2	jip-i2	jip-i2			jip-i1	jip-i1	jip-i1			jip	jip	jip
../sv-benchmarks/java/				status	cputime (s)	memory (MB)			status	cputime (s)	memory (MB)			status	cputime (s)	memory (MB)			status	cputime (s)	memory (MB)
MinePump/spec1-5_product15.yml	FALSE		29	FALSE	0.32304989	40.280064		31	FALSE	0.266743625	40.28416		31	FALSE	0.268399669	39.989248		16	OUT OF MEMORY (true)	15.58905619	4999.999488
MinePump/spec1-5_product16.yml	FALSE		30	FALSE	0.324356339	39.927808		32	FALSE	0.267332017	40.280064		32	FALSE	0.270294682	40.01792		16	OUT OF MEMORY (true)	16.93382114	4999.999488
MinePump/spec1-5_product2.yml	FALSE		31	FALSE	0.32976508	40.01792		33	FALSE	0.269210303	40.022016		33	FALSE	0.271478856	40.28416		16	TIMEOUT (true)	16.94471045	1951.879168
MinePump/spec1-5_product3.yml	FALSE		32	FALSE	1.197420912	86.286336		34	FALSE	0.270892816	40.013824		34	FALSE	0.271746458	40.28416		16	TIMEOUT (true)	16.94873039	1815.891968
MinePump/spec1-5_product4.yml	FALSE		33	FALSE	1.314102758	87.465984		35	FALSE	0.272352111	40.20224		35	FALSE	0.276651199	40.280064		16	TIMEOUT (true)	16.94885063	1844.105216
MinePump/spec1-5_product48.yml	FALSE		34	FALSE	1.361423583	99.979264		36	FALSE	0.275915895	40.226816		36	FALSE	0.278524352	40.292352		16	TIMEOUT (true)	16.95120331	1819.414528
MinePump/spec1-5_product49.yml	FALSE		35	FALSE	1.506063979	101.556224		37	FALSE	0.277305652	40.296448		37	FALSE	0.284896263	50.675712		16	TIMEOUT (true)	16.95147612	1974.92736
MinePump/spec1-5_product5.yml	FALSE		36	FALSE	2.090148199	117.3504		38	FALSE	1.130565939	87.06048		38	FALSE	1.101452514	86.024192		16	TIMEOUT (true)	16.9589039	1962.835968
MinePump/spec1-5_product50.yml	FALSE		37	FALSE	2.180813804	129.855488		39	FALSE	1.183301572	85.97504		39	FALSE	1.127967671	87.04		16	TIMEOUT (true)	16.960894	1827.18464
MinePump/spec1-5_product51.yml	FALSE		38	FALSE	2.21040654	149.413888		40	FALSE	1.23964892	99.586048		40	FALSE	1.228095342	99.65568		16	TIMEOUT (true)	16.96328469	1836.91264
MinePump/spec1-5_product52.yml	FALSE		39	FALSE	2.297427217	126.787584		41	FALSE	1.258802439	101.056512		41	FALSE	1.255746305	101.10976		16	TIMEOUT (true)	16.96546861	1853.714432
MinePump/spec1-5_product53.yml	FALSE		40	FALSE	2.340240718	131.633152		42	FALSE	1.739043381	116.891648		42	FALSE	1.744558641	116.77696		16	TIMEOUT (true)	16.96900737	1835.081728
MinePump/spec1-5_product54.yml	FALSE		41	FALSE	2.729627203	169.3696		43	FALSE	2.050683459	148.856832		43	FALSE	2.049791907	148.80768		16	TIMEOUT (true)	16.97174007	1839.88224
MinePump/spec1-5_product55.yml	FALSE		42	FALSE	2.920059379	158.990336		44	FALSE	2.062261553	126.263296		44	FALSE	2.074434933	126.398464		16	TIMEOUT (true)	16.97376789	1897.381888
MinePump/spec1-5_product56.yml	FALSE		43	FALSE	3.50629876	171.88864		45	FALSE	2.151398036	129.388544		45	FALSE	2.145644692	129.384448		16	TIMEOUT (true)	16.98739562	1996.869632
MinePump/spec1-5_product59.yml	TRUE		44	FALSE	13.0548692	1248.739328		46	FALSE	2.203954632	131.129344		46	FALSE	2.190720811	131.088384		16	TIMEOUT (true)	16.98857377	1970.417664
MinePump/spec1-5_product6.yml	FALSE		44	TIMEOUT (true)	20.99357339	426.328064		47	FALSE	2.502172624	158.429184		47	FALSE	2.459842189	158.425088		16	TIMEOUT (true)	16.99349314	1886.093312
MinePump/spec1-5_product60.yml	TRUE		44	TIMEOUT (true)	21.00871485	581.738496		48	FALSE	2.616613577	168.6528		48	FALSE	2.622252129	168.599552		16	TIMEOUT (true)	17.00962207	3509.190656
MinePump/spec1-5_product61.yml	TRUE		44	TIMEOUT (true)	21.00916359	194.625536		49	FALSE	2.693486839	171.122688		49	FALSE	2.688055771	171.094016		16	OUT OF MEMORY (true)	17.02107289	4999.999488
MinePump/spec1-5_product62.yml	TRUE		44	TIMEOUT (true)	21.00981894	193.4336		49	TIMEOUT (true)	21.00645596	144.97792		49	TIMEOUT (true)	21.00634907	146.096128		16	TIMEOUT (true)	17.02203972	1845.448704
MinePump/spec1-5_product63.yml	TRUE		44	TIMEOUT (true)	21.01553081	293.380096		49	TIMEOUT (true)	21.00664235	145.83808		49	TIMEOUT (true)	21.0064065	144.941056		16	TIMEOUT (true)	17.02323666	1888.751616
MinePump/spec1-5_product64.yml	TRUE		44	TIMEOUT (true)	21.01612575	293.347328		49	TIMEOUT (true)	21.00713718	158.851072		49	TIMEOUT (true)	21.00677222	157.47072		16	TIMEOUT (true)	17.03477958	4169.580544
MinePump/spec1-5_product7.yml	FALSE		44	TIMEOUT (true)	21.02034218	380.60032		49	TIMEOUT (true)	21.00720316	160.722944		49	TIMEOUT (true)	21.00725761	160.41984		16	OUT OF MEMORY (true)	17.07295667	4999.999488
MinePump/spec1-5_product8.yml	FALSE		44	TIMEOUT (true)	21.02197498	404.975616		49	TIMEOUT (true)	21.00802068	161.6896		49	TIMEOUT (true)	21.00740024	162.152448		16	TIMEOUT (true)	17.08534983	1992.54016
MinePump/spec1-5_product9.yml	FALSE		44	TIMEOUT (true)	21.02257253	475.21792		49	TIMEOUT (true)	21.00813857	174.936064		49	TIMEOUT (true)	21.0082643	175.292416		16	TIMEOUT (true)	17.43055504	1889.697792
